"01"|"frase 1"|" hola "
"02"|"frase 2"|" en que puedo ayudarte? "
"01b"|"frase 1b"|" volvamos a empezar "
"02b"|"frase 2b"|" en que puedo ayudarte? "
"03"|"frase 3"|" De que quieres hablar??"
"04"|"frase 4"|" Por favor, escribe el nuevo dialogo: "
"05"|"frase 5"|" Por favor, escribe la respuesta que deseas: "
"06"|"frase 6"|" El nuevo dialogo es: "
"07"|"frase 7"|" La respuesta al nuevo dialogo es: "
"08"|"frase 8"|" Deseas ingresar otro dialogo?"
"09"|"frase 9"|" Esta bien, volvamos al inicio "
"10"|"frase 10"|" llamame si necesitasalgo!! estoy muy contenta de servirte!! "
"11"|"frase 11"|" No sa que contestar a lo que me dices. deseas programar una nueva respuesta o dialogo?"
"12"|"frase 12"|" que navegador deseas abrir? "
"13"|"frase 13"|" Abriendo el navegador firefox para usted. "
"14"|"frase 14"|" Abriendo el navegador chrome para usted. "
"15"|"frase 15"|" lo siento mucho, no conozco el navegador que me indicas. "
